round,accuracy,loss
0,0.1228,2.3079933637305152
1,0.2681,2.1809175980241995
2,0.4228,1.7273404900031755
3,0.503,2.072206900089602
4,0.5254,1.7437028658540943
5,0.6119,1.3558899201924288
6,0.6818,1.2878110733213304
7,0.743,0.8658454180518284
8,0.5607,1.8292654496205003
9,0.5411,2.1168414625940444
10,0.639,1.3898432277425934
11,0.7101,1.0225715239213993
12,0.7054,1.120087223716929
13,0.6329,1.8080623149871826
14,0.7356,1.0625339210787905
15,0.7559,0.969842978482005
16,0.7005,1.1124655257297467
17,0.6608,1.3471228925487664
18,0.7243,1.2690729227247117
19,0.8133,0.66012371057951
20,0.7831,0.9165775849472119
