round,accuracy,loss
0,0.1089,2.302116593228111
1,0.2203,2.25914742373213
2,0.3244,2.2149507818342764
3,0.4114,2.156892492801328
4,0.5153,2.096391092372846
5,0.5414,2.035721551013898
6,0.598,1.9704615360573878
7,0.5933,1.9080241148984884
8,0.6456,1.8458931249908255
9,0.6883,1.7841895532004441
10,0.7041,1.7263152584244934
11,0.7317,1.6722003538397294
12,0.7459,1.621841969369333
13,0.749,1.5701762965962858
14,0.7551,1.5267975737776938
15,0.7656,1.4888802027400536
16,0.7804,1.4527245986310742
17,0.788,1.41636125649078
18,0.7953,1.3876620018029515
19,0.8018,1.361518542977828
20,0.8084,1.3377697347085686
