round,accuracy,loss
0,0.0974,2.301978929133355
1,0.0974,2.310449742063691
2,0.3049,2.2067150586768043
3,0.4577,2.1371735832359215
4,0.49,2.0740432512911062
5,0.567,2.007172694689111
6,0.5286,1.945846438407898
7,0.5684,1.882407312151752
8,0.4834,1.8418365037893947
9,0.4237,1.8327015261106854
10,0.3671,1.9875653257852868
11,0.2728,2.295541343809683
12,0.3897,2.4329686587369896
13,0.3269,2.350096859509432
14,0.361,2.180387613139575
15,0.3031,2.198909804790835
16,0.3933,2.152829704405386
17,0.429,1.9619533744039415
18,0.4322,1.8402037364018113
19,0.439,1.8304540960094597
20,0.5041,1.9063274422778358
