round,accuracy,loss
0,0.1018,2.308234453201294
1,0.4183,2.1536050295527978
2,0.7571,1.29276704788208
3,0.8587,0.534206157620949
4,0.8933,0.3935819725635685
5,0.9072,0.3318756445299221
6,0.9157,0.2966307106463215
7,0.9223,0.2714593145241843
8,0.9277,0.24748064671890646
9,0.9348,0.22806167706281325
10,0.9384,0.213854055179731
11,0.9435,0.19859987698919787
12,0.9473,0.18670910293872975
13,0.9507,0.17444726650284814
14,0.9524,0.16574502027228097
15,0.9567,0.15563877366035234
16,0.9582,0.14761055582144025
17,0.9598,0.14039665141696983
18,0.9621,0.13251823318909994
19,0.964,0.12707440161346634
20,0.965,0.12161087416277468
