round,accuracy,loss
0,0.0978,2.3131032714360877
1,0.1009,8.21362398847749
2,0.0974,39.93849937825264
3,0.1148,76.8592414855957
4,0.101,39.75526814521113
5,0.114,2.3746153433111648
6,0.1164,5.6082539618769776
7,0.0974,7.646996848190887
8,0.0982,10.78250985205928
9,0.1135,11.030781323396706
10,0.1009,9.970791225191913
11,0.1012,3.597948095466517
12,0.098,2.6420840945424913
13,0.1953,4.284843010238454
14,0.0974,4.654476805578304
15,0.2072,6.8880655131762545
16,0.1909,5.6197841921939125
17,0.098,6.776924229875395
18,0.1337,3.230489848535272
19,0.1354,2.68601950210861
20,0.1598,2.3657417418081548
