round,accuracy,loss
0,0.0947,2.3085910338389724
1,0.0996,2.3792594082747835
2,0.1147,2.353392069852805
3,0.0982,3.215528038483632
4,0.0892,4.339329357388653
5,0.101,11.571838934210282
6,0.1585,22.67737808710412
7,0.0982,39.50627677048309
8,0.1422,16.644896471047705
9,0.1005,3.546024965334542
10,0.1028,2.623762115647521
11,0.101,2.73536889764327
12,0.1077,2.9953171754185157
13,0.2015,3.791786296458184
14,0.0979,13.777100116391725
15,0.1588,12.747585513923742
16,0.2744,2.990917344636555
17,0.2406,2.2703015170519865
18,0.2629,2.718888560427895
19,0.3915,3.8944067291066617
20,0.3116,6.560179921645153
