round,accuracy,loss
0,0.1643,2.2993940492219562
1,0.1617,2.6846113929265663
2,0.0625,2.5426962013486065
3,0.1667,3.147211675402484
4,0.161,3.7037388191947453
5,0.1498,4.424107439910309
6,0.1543,4.708889662464963
7,0.1319,7.177553490747379
8,0.1618,7.719190802755235
9,0.1713,6.604404884048655
10,0.1343,7.743579967112481
11,0.2674,8.051096004775808
12,0.1707,6.863142514530616
13,0.1054,8.394518417648122
14,0.2042,8.738218084166322
15,0.2031,7.240997525710094
16,0.1627,8.362856508810308
17,0.1466,8.992764720433875
18,0.1905,7.068428818183609
19,0.162,9.053688912452023
20,0.2443,7.926239550868167
