round,accuracy,loss
0,0.1062,2.323534017876734
1,0.5693,1.932728673838362
2,0.7291,0.7864886378940148
3,0.7999,1.1284276722352715
4,0.8363,1.2809913859119098
5,0.8509,0.91243878285153
6,0.8581,0.5028216309751137
7,0.855,0.5375779052323932
8,0.8791,0.5560785347147833
9,0.9268,0.27000470666945736
10,0.9464,0.17347089453494247
11,0.9499,0.18912416257117462
12,0.9545,0.1814886953216046
13,0.9637,0.1480354433825838
14,0.9649,0.13091350310258096
15,0.9644,0.11723499774013328
16,0.9676,0.10457919950632355
17,0.9692,0.1050990903750062
18,0.9725,0.09536143305086636
19,0.9732,0.08716179080944084
20,0.975,0.08374031256041431
